choice_set,b,alt,el,plants,wild,dist,view,cost,cost_sq
1,alt1,1,57,1,1,4,1,8000,
1,alt2,2,,,,,,,0
2,alt1,1,38,6,2,2,1,6000,
2,alt2,2,,,,,,,0
3,alt1,1,38,1,0,1,2,4000,
3,alt2,2,,,,,,,0
4,alt1,1,38,3,1,1,1,7000,
4,alt2,2,,,,,,,0
5,alt1,1,19,3,2,2,1,2000,
5,alt2,2,,,,,,,0
6,alt1,1,19,1,0,2,2,4000,
6,alt2,2,,,,,,,0
7,alt1,1,57,3,1,2,2,3000,
7,alt2,2,,,,,,,0
8,alt1,1,19,1,2,1,2,9000,
8,alt2,2,,,,,,,0
9,alt1,1,57,3,2,3,2,7000,
9,alt2,2,,,,,,,0
10,alt1,1,19,6,1,3,1,5000,
10,alt2,2,,,,,,,0
11,alt1,1,19,6,0,3,2,6000,
11,alt2,2,,,,,,,0
12,alt1,1,57,1,2,3,1,3000,
12,alt2,2,,,,,,,0
13,alt1,1,19,1,2,4,1,5000,
13,alt2,2,,,,,,,0
14,alt1,1,57,6,1,1,1,2000,
14,alt2,2,,,,,,,0
15,alt1,1,19,3,1,4,2,8000,
15,alt2,2,,,,,,,0
16,alt1,1,57,1,0,2,1,9000,
16,alt2,2,,,,,,,0
17,alt1,1,38,3,2,4,2,3000,
17,alt2,2,,,,,,,0
18,alt1,1,19,3,0,1,1,5000,
18,alt2,2,,,,,,,0
19,alt1,1,38,6,1,2,2,8000,
19,alt2,2,,,,,,,0
20,alt1,1,57,6,0,4,2,6000,
20,alt2,2,,,,,,,0
21,alt1,1,57,6,2,1,2,7000,
21,alt2,2,,,,,,,0
22,alt1,1,38,1,1,3,2,2000,
22,alt2,2,,,,,,,0
23,alt1,1,38,3,0,3,1,9000,
23,alt2,2,,,,,,,0
24,alt1,1,38,6,0,4,1,4000,
24,alt2,2,,,,,,,0
